Speed bucket, Count
0 - 1 mph,1
1 - 2 mph,3
2 - 3 mph,2
3 - 4 mph,2
4 - 5 mph,8
5 - 6 mph,20
6 - 7 mph,43
7 - 8 mph,110
8 - 9 mph,194
9 - 10 mph,296
10 - 11 mph,338
11 - 12 mph,288
12 - 13 mph,259
13 - 14 mph,179
14 - 15 mph,121
15 - 16 mph,64
16 - 17 mph,41
17 - 18 mph,31
18 - 19 mph,16
19 - 20 mph,20
20 - 21 mph,7
21 - 22 mph,10
22 - 23 mph,6
23 - 24 mph,3
24 - 25 mph,7
25 - 26 mph,2
26 - 27 mph,2
27 - 28 mph,1
28 - 29 mph,0
29 - 30 mph,1
30 - 31 mph,0
31 - 32 mph,0
32 - 33 mph,0
33 - 34 mph,0
34 - 35 mph,1
35 - 36 mph,0
36 - 37 mph,0
37 - 38 mph,0
38 - 39 mph,0
39 - 40 mph,0
40 - 41 mph,0
41 - 42 mph,0
42 - 43 mph,0
43 - 44 mph,1
